filepath , mos
vits_10107-0000,4.5
vits_10107-0003,5.0
vits_10107-0004,3.0
vits_10107-0005,3.5
vits_10107-0006,3.0
vits_10107-0007,4.0
vits_10107-0008,2.0
vits_10107-0009,4.0
vits_10107-0010,5.0
vits_10107-0011,3.5
vits_10107-0012,4.0
vits_10107-0015,3.0
vits_10107-0016,4.0
vits_10107-0018,3.5
vits_10107-0020,3.0
vits_10107-0021,3.75
vits_10107-0022,4.0
vits_10107-0025,4.0
vits_10107-0026,3.5
vits_10107-0027,4.0
vits_10107-0029,4.5
vits_10199-0000,3.0
vits_10199-0001,3.0
vits_10199-0002,5.0
vits_10199-0003,3.3333333333333335
vits_10199-0005,5.0
vits_10199-0007,1.0
vits_10199-0008,4.0
vits_10199-0010,3.0
vits_10199-0011,3.0
vits_10199-0012,3.5
vits_10199-0013,4.0
vits_10199-0016,2.6666666666666665
vits_10199-0017,3.0
vits_10199-0019,3.0
vits_10199-0020,2.75
vits_10199-0021,2.5
vits_10199-0023,3.0
vits_10199-0024,4.0
vits_10199-0026,3.0
vits_10199-0027,3.5
vits_10199-0029,3.5
vits_10670-0000,2.0
vits_10670-0003,3.3333333333333335
vits_10670-0004,2.6666666666666665
vits_10670-0005,2.0
vits_10670-0007,3.0
vits_10670-0008,2.0
vits_10670-0010,2.0
vits_10670-0011,2.6666666666666665
vits_10670-0013,1.5
vits_10670-0014,4.0
vits_10670-0018,4.0
vits_10670-0019,1.0
vits_10670-0020,3.5
vits_10670-0021,2.0
vits_10670-0022,3.75
vits_10670-0024,2.0
vits_10670-0025,4.0
vits_10670-0026,3.5
vits_10670-0028,3.0
vits_12249-0000,4.333333333333333
vits_12249-0002,4.5
vits_12249-0003,4.0
vits_12249-0004,4.0
vits_12249-0005,4.333333333333333
vits_12249-0006,4.0
vits_12249-0007,4.0
vits_12249-0008,4.0
vits_12249-0009,4.666666666666667
vits_12249-0010,4.0
vits_12249-0011,4.0
vits_12249-0012,5.0
vits_12249-0014,4.0
vits_12249-0015,5.0
vits_12249-0016,5.0
vits_12249-0017,4.5
vits_12249-0018,5.0
vits_12249-0019,3.6666666666666665
vits_12249-0020,4.0
vits_12249-0021,4.0
vits_12249-0022,3.5
vits_12249-0024,4.0
vits_12249-0025,3.0
vits_12249-0026,4.0
vits_12249-0027,5.0
vits_12249-0028,5.0
vits_12249-0029,4.0
vits_12865-0001,2.5
vits_12865-0002,3.0
vits_12865-0005,4.0
vits_12865-0006,3.6666666666666665
vits_12865-0007,1.0
vits_12865-0009,3.6666666666666665
vits_12865-0010,5.0
vits_12865-0011,3.0
vits_12865-0012,3.0
vits_12865-0013,4.0
vits_12865-0015,3.0
vits_12865-0016,4.0
vits_12865-0017,3.6666666666666665
vits_12865-0018,4.5
vits_12865-0019,4.0
vits_12865-0021,3.6666666666666665
vits_12865-0023,3.0
vits_12865-0024,4.0
vits_12865-0026,4.0
vits_12865-0027,4.0
vits_12865-0028,5.0
vits_12865-0029,2.0
vits_2959-0000,3.0
vits_2959-0001,5.0
vits_2959-0004,4.0
vits_2959-0005,2.0
vits_2959-0007,5.0
vits_2959-0008,4.25
vits_2959-0009,1.0
vits_2959-0011,3.0
vits_2959-0012,3.0
vits_2959-0013,4.0
vits_2959-0014,5.0
vits_2959-0016,3.5
vits_2959-0017,5.0
vits_2959-0018,4.0
vits_2959-0021,4.0
vits_2959-0022,4.0
vits_2959-0023,4.0
vits_2959-0024,2.0
vits_2959-0025,3.0
vits_2959-0026,4.0
vits_2959-0027,4.0
vits_2959-0029,2.75
vits_2961-0000,4.0
vits_2961-0003,4.0
vits_2961-0004,3.0
vits_2961-0005,5.0
vits_2961-0006,3.0
vits_2961-0007,3.5
vits_2961-0011,3.0
vits_2961-0013,4.0
vits_2961-0014,4.0
vits_2961-0015,3.5
vits_2961-0017,4.0
vits_2961-0018,4.0
vits_2961-0019,3.0
vits_2961-0020,3.0
vits_2961-0021,4.0
vits_2961-0022,4.0
vits_2961-0024,1.0
vits_2961-0025,4.0
vits_2961-0027,4.333333333333333
vits_2961-0028,2.0
vits_3369-0000,3.2857142857142856
vits_3369-0002,4.0
vits_3369-0004,4.0
vits_3369-0007,3.0
vits_3369-0008,2.3333333333333335
vits_3369-0009,3.0
vits_3369-0010,4.0
vits_3369-0011,3.0
vits_3369-0012,5.0
vits_3369-0014,4.5
vits_3369-0015,3.0
vits_3369-0019,3.5
vits_3369-0021,4.0
vits_3369-0022,4.0
vits_3369-0023,2.0
vits_3369-0024,3.0
vits_3369-0026,4.5
vits_3369-0027,4.0
vits_3369-0028,3.0
vits_3369-0029,4.5
vits_3427-0000,5.0
vits_3427-0001,4.0
vits_3427-0005,4.0
vits_3427-0006,3.0
vits_3427-0008,2.5
vits_3427-0009,3.0
vits_3427-0011,4.0
vits_3427-0012,2.0
vits_3427-0013,3.0
vits_3427-0014,4.5
vits_3427-0015,1.0
vits_3427-0016,3.0
vits_3427-0017,2.6666666666666665
vits_3427-0018,4.0
vits_3427-0019,2.5
vits_3427-0020,2.6
vits_3427-0021,3.0
vits_3427-0022,4.333333333333333
vits_3427-0026,5.0
vits_3427-0028,3.0
vits_3427-0029,3.0
vits_3814-0000,3.0
vits_3814-0001,1.0
vits_3814-0002,3.0
vits_3814-0004,3.0
vits_3814-0005,2.0
vits_3814-0010,1.0
vits_3814-0011,3.0
vits_3814-0013,3.0
vits_3814-0014,3.0
vits_3814-0015,3.0
vits_3814-0016,2.0
vits_3814-0017,4.0
vits_3814-0019,2.0
vits_3814-0020,1.0
vits_3814-0021,3.0
vits_3814-0023,3.0
vits_3814-0024,2.0
vits_3814-0025,3.0
vits_3814-0027,3.0
vits_3814-0029,3.0
vits_3976-0000,4.0
vits_3976-0001,3.5
vits_3976-0002,5.0
vits_3976-0003,3.25
vits_3976-0004,3.5
vits_3976-0005,4.5
vits_3976-0006,2.75
vits_3976-0007,2.0
vits_3976-0009,3.0
vits_3976-0011,2.5
vits_3976-0012,3.0
vits_3976-0013,3.0
vits_3976-0014,4.0
vits_3976-0015,3.0
vits_3976-0020,4.0
vits_3976-0021,3.0
vits_3976-0022,2.5
vits_3976-0023,4.0
vits_3976-0026,3.6666666666666665
vits_3976-0027,3.0
vits_3976-0029,5.0
vits_4367-0000,5.0
vits_4367-0001,2.6666666666666665
vits_4367-0003,2.5
vits_4367-0006,3.0
vits_4367-0007,3.0
vits_4367-0008,3.0
vits_4367-0009,2.0
vits_4367-0010,4.0
vits_4367-0013,3.0
vits_4367-0014,3.5
vits_4367-0015,2.0
vits_4367-0016,4.5
vits_4367-0017,5.0
vits_4367-0018,4.0
vits_4367-0019,4.333333333333333
vits_4367-0020,5.0
vits_4367-0021,4.0
vits_4367-0022,5.0
vits_4367-0024,4.0
vits_4367-0025,4.0
vits_4367-0026,5.0
vits_4367-0027,4.0
vits_4367-0028,2.0
vits_4367-0029,4.0
vits_4778-0000,4.0
vits_4778-0001,3.0
vits_4778-0002,3.5
vits_4778-0004,5.0
vits_4778-0006,4.0
vits_4778-0008,2.3333333333333335
vits_4778-0010,5.0
vits_4778-0011,2.6666666666666665
vits_4778-0014,3.0
vits_4778-0015,5.0
vits_4778-0017,3.0
vits_4778-0018,4.0
vits_4778-0019,3.0
vits_4778-0022,2.0
vits_4778-0023,2.0
vits_4778-0024,4.0
vits_4778-0025,3.0
vits_4778-0027,2.5
vits_4778-0029,3.0
vits_4783-0000,5.0
vits_4783-0001,4.0
vits_4783-0002,3.0
vits_4783-0004,4.0
vits_4783-0005,4.0
vits_4783-0006,4.0
vits_4783-0007,1.0
vits_4783-0008,4.0
vits_4783-0010,4.0
vits_4783-0011,4.5
vits_4783-0012,4.0
vits_4783-0013,2.0
vits_4783-0014,2.0
vits_4783-0015,2.75
vits_4783-0017,4.333333333333333
vits_4783-0018,3.0
vits_4783-0019,4.0
vits_4783-0020,3.0
vits_4783-0021,4.0
vits_4783-0022,2.0
vits_4783-0023,2.0
vits_4783-0024,3.0
vits_4783-0025,1.5
vits_4783-0026,3.0
vits_4783-0028,3.3333333333333335
vits_4783-0029,3.0
vits_4801-0000,4.5
vits_4801-0002,3.5
vits_4801-0003,1.0
vits_4801-0004,5.0
vits_4801-0005,5.0
vits_4801-0007,4.333333333333333
vits_4801-0008,4.0
vits_4801-0009,3.5
vits_4801-0011,4.0
vits_4801-0013,4.0
vits_4801-0014,5.0
vits_4801-0016,2.0
vits_4801-0017,3.0
vits_4801-0019,2.0
vits_4801-0020,4.5
vits_4801-0021,4.0
vits_4801-0022,4.0
vits_4801-0023,2.0
vits_4801-0025,3.6666666666666665
vits_4801-0026,3.0
vits_4801-0027,1.0
vits_4801-0028,3.2
vits_4801-0029,3.0
vits_5025-0003,3.0
vits_5025-0004,3.0
vits_5025-0005,3.5
vits_5025-0006,3.0
vits_5025-0007,3.0
vits_5025-0011,3.6666666666666665
vits_5025-0014,4.0
vits_5025-0015,4.0
vits_5025-0016,3.6666666666666665
vits_5025-0017,4.0
vits_5025-0018,1.0
vits_5025-0019,2.3333333333333335
vits_5025-0021,3.0
vits_5025-0022,3.0
vits_5025-0024,2.0
vits_5025-0025,4.0
vits_5025-0027,4.0
vits_5025-0028,2.5
vits_5068-0000,2.0
vits_5068-0001,3.0
vits_5068-0002,3.0
vits_5068-0003,4.0
vits_5068-0004,3.5
vits_5068-0005,2.5
vits_5068-0006,4.0
vits_5068-0007,4.0
vits_5068-0008,3.0
vits_5068-0009,2.3333333333333335
vits_5068-0010,4.0
vits_5068-0013,4.0
vits_5068-0014,2.5
vits_5068-0015,2.0
vits_5068-0016,4.5
vits_5068-0018,2.0
vits_5068-0019,3.0
vits_5068-0020,2.5
vits_5068-0023,3.0
vits_5068-0025,3.5
vits_5068-0026,3.0
vits_5068-0028,3.5
vits_5068-0029,3.0
vits_5103-0000,4.0
vits_5103-0001,4.0
vits_5103-0002,3.0
vits_5103-0003,2.5
vits_5103-0006,4.0
vits_5103-0007,2.0
vits_5103-0008,4.0
vits_5103-0009,5.0
vits_5103-0010,3.0
vits_5103-0011,3.0
vits_5103-0012,3.0
vits_5103-0014,3.0
vits_5103-0016,3.0
vits_5103-0019,3.5
vits_5103-0020,3.0
vits_5103-0021,3.5
vits_5103-0022,4.0
vits_5103-0024,2.0
vits_5103-0025,2.5
vits_5103-0027,3.0
vits_5103-0029,2.0
vits_5677-0000,2.6666666666666665
vits_5677-0001,3.0
vits_5677-0002,3.0
vits_5677-0003,5.0
vits_5677-0004,3.5
vits_5677-0005,3.5
vits_5677-0006,3.0
vits_5677-0007,3.0
vits_5677-0008,4.0
vits_5677-0009,4.0
vits_5677-0012,3.0
vits_5677-0013,4.0
vits_5677-0014,4.0
vits_5677-0016,4.0
vits_5677-0018,3.0
vits_5677-0020,3.5
vits_5677-0026,3.6666666666666665
vits_5677-0027,4.0
vits_5677-0029,3.5
vits_5705-0000,4.5
vits_5705-0001,3.5
vits_5705-0002,3.0
vits_5705-0003,4.0
vits_5705-0004,2.0
vits_5705-0005,3.0
vits_5705-0006,3.5
vits_5705-0007,5.0
vits_5705-0008,1.0
vits_5705-0009,3.3333333333333335
vits_5705-0010,3.0
vits_5705-0011,3.0
vits_5705-0013,4.0
vits_5705-0014,4.0
vits_5705-0015,3.5
vits_5705-0016,4.0
vits_5705-0018,4.0
vits_5705-0019,3.0
vits_5705-0020,2.5
vits_5705-0021,5.0
vits_5705-0022,4.0
vits_5705-0024,3.0
vits_5705-0025,4.0
vits_5705-0026,1.0
vits_5705-0029,3.5
vits_5888-0001,3.0
vits_5888-0002,2.0
vits_5888-0004,4.0
vits_5888-0005,4.0
vits_5888-0008,3.0
vits_5888-0010,2.3333333333333335
vits_5888-0011,4.0
vits_5888-0012,4.0
vits_5888-0013,5.0
vits_5888-0014,3.0
vits_5888-0015,4.0
vits_5888-0016,4.0
vits_5888-0017,3.5
vits_5888-0018,4.0
vits_5888-0019,2.0
vits_5888-0021,1.5
vits_5888-0023,2.0
vits_5888-0024,2.5
vits_5888-0025,4.0
vits_5888-0028,3.0
vits_5888-0029,3.0
vits_6207-0001,3.0
vits_6207-0002,1.0
vits_6207-0004,2.5
vits_6207-0005,2.0
vits_6207-0007,2.6666666666666665
vits_6207-0008,3.5
vits_6207-0009,5.0
vits_6207-0010,3.0
vits_6207-0011,3.0
vits_6207-0012,2.0
vits_6207-0015,1.0
vits_6207-0018,2.5
vits_6207-0021,4.0
vits_6207-0022,3.5
vits_6207-0024,2.5
vits_6207-0025,2.0
vits_6207-0026,3.0
vits_6207-0027,4.0
vits_6207-0028,3.0
vits_6581-0001,3.6666666666666665
vits_6581-0002,4.0
vits_6581-0003,4.0
vits_6581-0004,4.0
vits_6581-0005,3.0
vits_6581-0007,5.0
vits_6581-0008,4.0
vits_6581-0009,5.0
vits_6581-0010,3.3333333333333335
vits_6581-0011,3.5
vits_6581-0012,2.0
vits_6581-0013,5.0
vits_6581-0015,2.0
vits_6581-0016,3.0
vits_6581-0017,3.0
vits_6581-0019,5.0
vits_6581-0020,4.0
vits_6581-0021,3.0
vits_6581-0022,3.5
vits_6581-0027,4.0
vits_6581-0028,5.0
vits_6601-0001,3.6666666666666665
vits_6601-0002,2.6666666666666665
vits_6601-0003,2.0
vits_6601-0005,4.0
vits_6601-0007,3.6666666666666665
vits_6601-0010,3.0
vits_6601-0011,4.0
vits_6601-0013,4.5
vits_6601-0014,4.0
vits_6601-0016,4.0
vits_6601-0017,4.0
vits_6601-0018,2.0
vits_6601-0019,3.3333333333333335
vits_6601-0020,3.0
vits_6601-0022,2.0
vits_6601-0023,4.0
vits_6601-0024,3.0
vits_6601-0025,4.0
vits_6601-0026,1.0
vits_6601-0027,4.0
vits_6601-0028,3.0
vits_6601-0029,2.5
vits_6700-0004,4.0
vits_6700-0006,4.0
vits_6700-0007,4.5
vits_6700-0009,4.0
vits_6700-0012,2.0
vits_6700-0013,3.0
vits_6700-0015,3.0
vits_6700-0017,4.5
vits_6700-0018,4.5
vits_6700-0019,2.5
vits_6700-0020,3.0
vits_6700-0021,3.5
vits_6700-0022,2.75
vits_6700-0023,3.5
vits_6700-0025,3.0
vits_6700-0026,3.0
vits_6700-0027,2.5
vits_6700-0028,1.5
vits_6700-0029,4.0
vits_7028-0001,4.0
vits_7028-0003,4.5
vits_7028-0005,3.3333333333333335
vits_7028-0006,2.0
vits_7028-0007,3.25
vits_7028-0008,2.0
vits_7028-0010,4.0
vits_7028-0011,5.0
vits_7028-0012,4.0
vits_7028-0013,2.6666666666666665
vits_7028-0014,3.0
vits_7028-0015,3.0
vits_7028-0016,2.5
vits_7028-0017,4.666666666666667
vits_7028-0019,4.0
vits_7028-0020,3.0
vits_7028-0021,3.0
vits_7028-0022,3.0
vits_7028-0023,2.0
vits_7028-0025,3.1666666666666665
vits_7028-0026,3.0
vits_7028-0027,3.5
vits_7028-0028,4.0
vits_7028-0029,3.0
vits_8680-0000,3.0
vits_8680-0002,2.0
vits_8680-0003,3.0
vits_8680-0006,2.0
vits_8680-0007,2.0
vits_8680-0008,2.6666666666666665
vits_8680-0009,1.0
vits_8680-0011,2.0
vits_8680-0012,4.0
vits_8680-0013,3.0
vits_8680-0014,2.5
vits_8680-0015,1.0
vits_8680-0016,3.0
vits_8680-0017,1.0
vits_8680-0018,1.6666666666666667
vits_8680-0019,5.0
vits_8680-0020,2.5
vits_8680-0021,2.3333333333333335
vits_8680-0022,1.0
vits_8680-0023,1.0
vits_8680-0024,4.0
vits_8680-0025,1.0
vits_8680-0026,3.0
vits_8680-0027,2.8333333333333335
vits_8680-0028,4.0
vits_9217-0000,2.0
vits_9217-0002,1.0
vits_9217-0004,3.5
vits_9217-0005,2.5
vits_9217-0006,2.0
vits_9217-0007,5.0
vits_9217-0008,3.0
vits_9217-0010,4.0
vits_9217-0011,4.0
vits_9217-0012,3.75
vits_9217-0014,4.0
vits_9217-0015,3.5
vits_9217-0018,3.0
vits_9217-0019,1.0
vits_9217-0020,2.3333333333333335
vits_9217-0021,3.0
vits_9217-0023,4.0
vits_9217-0024,2.0
vits_9217-0026,5.0
vits_9217-0027,4.5
vits_9217-0028,2.5
vits_9217-0029,3.0
vits_9351-0002,4.0
vits_9351-0004,2.6666666666666665
vits_9351-0005,3.3333333333333335
vits_9351-0006,3.0
vits_9351-0007,4.0
vits_9351-0008,4.0
vits_9351-0009,1.0
vits_9351-0011,4.0
vits_9351-0012,3.0
vits_9351-0014,4.0
vits_9351-0018,4.0
vits_9351-0021,3.0
vits_9351-0022,3.75
vits_9351-0023,4.0
vits_9351-0024,3.0
vits_9351-0025,2.0
vits_9351-0026,2.5
vits_9351-0027,5.0
vits_9351-0028,2.5
vits_9351-0029,3.0
vits_9485-0000,3.0
vits_9485-0001,1.0
vits_9485-0002,3.5
vits_9485-0004,3.3333333333333335
vits_9485-0005,5.0
vits_9485-0007,2.0
vits_9485-0008,2.0
vits_9485-0010,2.0
vits_9485-0011,2.0
vits_9485-0014,4.0
vits_9485-0015,4.5
vits_9485-0016,5.0
vits_9485-0017,3.0
vits_9485-0018,3.75
vits_9485-0020,2.0
vits_9485-0022,3.2
vits_9485-0023,1.0
vits_9485-0025,5.0
vits_9485-0026,4.0
vits_9485-0028,4.0
vits_9485-0029,4.0
vits_10107-0001,4.0
vits_10107-0002,4.0
vits_10107-0013,4.0
vits_10107-0014,5.0
vits_10107-0017,5.0
vits_10107-0024,3.0
vits_10107-0028,5.0
vits_10199-0004,3.1666666666666665
vits_10199-0006,3.5
vits_10199-0009,3.5
vits_10199-0014,2.0
vits_10199-0015,3.5
vits_10199-0018,3.0
vits_10199-0028,3.0
vits_10670-0002,4.0
vits_10670-0006,3.0
vits_10670-0009,2.5
vits_10670-0015,3.5
vits_10670-0027,1.5
vits_10670-0029,4.0
vits_12249-0001,3.0
vits_12249-0013,4.0
vits_12249-0023,5.0
vits_12865-0000,4.5
vits_12865-0003,4.0
vits_12865-0004,2.5
vits_12865-0008,3.0
vits_12865-0014,4.5
vits_12865-0025,3.0
vits_2959-0003,4.0
vits_2959-0015,4.0
vits_2959-0019,3.0
vits_2959-0020,4.0
vits_2959-0028,3.0
vits_2961-0002,3.5
vits_2961-0009,4.0
vits_2961-0012,4.0
vits_2961-0016,3.0
vits_2961-0023,4.0
vits_2961-0029,4.0
vits_3369-0001,4.0
vits_3369-0005,4.333333333333333
vits_3369-0006,2.0
vits_3369-0018,3.0
vits_3369-0025,5.0
vits_3427-0003,3.0
vits_3427-0004,4.5
vits_3427-0010,3.5
vits_3427-0023,3.0
vits_3427-0024,2.0
vits_3814-0003,3.5
vits_3814-0006,3.0
vits_3814-0007,3.0
vits_3814-0008,4.0
vits_3976-0010,4.0
vits_3976-0016,4.0
vits_3976-0018,4.0
vits_3976-0024,5.0
vits_3976-0025,4.0
vits_4367-0011,5.0
vits_4367-0023,3.0
vits_4778-0003,2.0
vits_4778-0005,5.0
vits_4778-0009,3.0
vits_4778-0012,5.0
vits_4778-0016,4.0
vits_4778-0020,4.0
vits_4783-0003,3.5
vits_4783-0009,4.0
vits_4783-0016,2.0
vits_4801-0001,4.0
vits_4801-0006,4.333333333333333
vits_4801-0010,4.0
vits_4801-0012,3.0
vits_4801-0018,4.0
vits_4801-0024,3.5
vits_5025-0000,3.0
vits_5025-0001,3.6666666666666665
vits_5025-0009,2.0
vits_5025-0026,3.0
vits_5068-0011,3.0
vits_5068-0012,2.0
vits_5068-0021,2.0
vits_5068-0024,2.5
vits_5103-0004,5.0
vits_5103-0005,4.0
vits_5103-0017,4.0
vits_5103-0023,5.0
vits_5103-0026,4.0
vits_5677-0019,4.333333333333333
vits_5677-0021,4.0
vits_5677-0023,4.5
vits_5677-0024,3.0
vits_5677-0025,3.0
vits_5705-0012,4.0
vits_5705-0017,5.0
vits_5705-0027,4.0
vits_5705-0028,2.0
vits_5888-0006,3.0
vits_5888-0007,2.0
vits_5888-0009,2.0
vits_5888-0020,2.0
vits_5888-0022,3.0
vits_5888-0027,3.0
vits_6207-0000,4.0
vits_6207-0003,5.0
vits_6207-0006,3.0
vits_6207-0014,2.0
vits_6207-0016,3.0
vits_6207-0017,2.5
vits_6207-0023,3.6666666666666665
vits_6581-0006,4.0
vits_6581-0014,3.0
vits_6581-0018,4.0
vits_6581-0024,5.0
vits_6581-0029,5.0
vits_6601-0000,4.0
vits_6601-0004,3.0
vits_6601-0006,3.6666666666666665
vits_6601-0009,2.5
vits_6601-0021,3.0
vits_6700-0001,5.0
vits_6700-0002,3.6666666666666665
vits_6700-0003,4.0
vits_6700-0005,4.5
vits_6700-0008,4.0
vits_6700-0014,5.0
vits_6700-0016,5.0
vits_7028-0000,5.0
vits_7028-0002,4.0
vits_7028-0004,3.0
vits_7028-0018,4.5
vits_8680-0004,4.0
vits_8680-0005,4.0
vits_8680-0010,3.0
vits_9217-0001,2.5
vits_9217-0009,4.0
vits_9217-0013,5.0
vits_9217-0025,3.0
vits_9351-0000,5.0
vits_9351-0001,4.0
vits_9351-0003,2.6666666666666665
vits_9351-0010,3.3333333333333335
vits_9351-0013,4.333333333333333
vits_9351-0017,5.0
vits_9351-0019,4.25
vits_9485-0003,3.5
vits_9485-0009,4.0
vits_9485-0012,3.0
vits_9485-0013,3.0
vits_9485-0019,5.0
vits_9485-0027,2.0
